run,time_seconds
1,10.287848
2,10.064216
3,10.399260
4,10.306298
5,10.137748
6,10.046852
7,10.017145
8,10.121155
9,10.331316
10,10.115947
11,10.060608
12,10.055690
13,10.409087
14,10.162469
15,10.444091
16,10.157449
17,11.106035
18,10.661268
19,10.048731
20,10.002860
21,10.016257
22,11.159617
23,10.005501
24,10.014327
25,9.969711
26,10.719240
27,10.406797
28,10.036856
29,9.990047
30,10.004438
