run,time_seconds
1,0.586444
2,0.621766
3,0.585070
4,0.584613
5,0.752831
6,0.719469
7,0.566055
8,0.571457
9,0.596828
10,0.570832
11,0.573412
12,0.570091
13,0.565030
14,0.654675
15,0.568714
16,0.571498
17,0.616357
18,0.635927
19,0.604346
20,0.640905
21,0.577466
22,0.578490
23,0.585843
24,0.566707
25,0.596145
26,0.572323
27,0.583429
28,0.593531
29,0.577180
30,0.580490
