run,time_seconds
1,1.073256
2,0.706121
3,0.564923
4,1.682886
5,0.830397
6,1.063789
7,0.795066
8,0.677349
9,1.469675
10,0.620938
11,1.151399
12,0.842531
13,0.661100
14,0.978493
15,0.936275
16,0.742933
17,1.045174
18,0.580263
19,0.714754
20,1.052977
21,1.290510
22,0.847253
23,0.509403
24,0.706389
25,0.582270
26,0.781524
27,0.629885
28,0.537856
29,1.891065
30,0.804631
