run,time_seconds
1,0.015608
2,0.015764
3,0.013351
4,0.006441
5,0.013686
6,0.012789
7,0.012037
8,0.015653
9,0.017670
10,0.027146
11,0.015140
12,0.019308
13,0.012589
14,0.016962
15,0.015373
16,0.011549
17,0.016888
18,0.016607
19,0.013430
20,0.014347
21,0.015756
22,0.017144
23,0.016393
24,0.020475
25,0.004421
26,0.004681
27,0.019387
28,0.019763
29,0.014106
30,0.016117
