size, np, run, time_seconds
1600,  4,   6,  10.046852
1600,  4,   7,  10.017145
1600,  4,   8,  10.121155
1600,  4,   9,  10.331316
1600,  4,  10,  10.115947
1600,  4,  11,  10.060608
1600,  4,  12,  10.055690
1600,  4,  13,  10.409087
1600,  4,  14,  10.162469
1600,  4,  15,  10.444091
1600,  4,  16,  10.157449
1600,  4,  17,  11.106035
1600,  4,  18,  10.661268
1600,  4,  19,  10.048731
1600,  4,  20,  10.002860
1600,  4,  21,  10.016257
1600,  4,  22,  11.159617
1600,  4,  23,  10.005501
1600,  4,  24,  10.014327
1600,  4,  25,   9.969711
1600,  4,  26,  10.719240
1600,  4,  27,  10.406797
1600,  4,  28,  10.036856
1600,  4,  29,   9.990047
1600,  4,  30,  10.004438
1600, 20,   1,  27.996415
1600, 20,   2,  27.012763
1600, 20,   3,  26.463536
1600, 20,   4,  26.588295
1600, 20,   5,  24.897500
1600, 20,   6,  27.308657
1600, 20,   7,  26.373152
1600, 20,   8,  25.957046
1600, 20,   9,  27.631847
1600, 20,  10,  25.556404
1600, 20,  11,  27.115516
1600, 20,  12,  28.158802
1600, 20,  13,  25.693167
1600, 20,  14,  26.687222
1600, 20,  15,  29.640189
1600, 20,  16,  26.685535
1600, 20,  17,  28.629307
1600, 20,  18,  25.425182
1600, 20,  19,  25.992180
1600, 20,  20,  27.317856
1600, 20,  21,  26.644312
1600, 20,  22,  29.740464
1600, 20,  23,  26.151216
1600, 20,  24,  27.062061
1600, 20,  25,  53.407000
1600, 20,  26,  28.040152
1600, 20,  27,  27.786226
1600, 20,  28,  26.694634
1600, 20,  29,  31.275907
1600, 20,  30,  26.735944
3200,  4,   1, 211.373365
3200,  4,   2, 216.717683
3200,  4,   3, 193.635139
3200,  4,   4, 192.365732
3200,  4,   5, 183.728663
3200,  4,   6, 189.120352
3200,  4,   7, 186.301374
3200,  4,   8, 203.277742
3200,  4,   9, 217.329128
3200,  4,  10, 214.939715
3200,  4,  11, 216.103608
3200,  4,  12, 216.162212
3200,  4,  13, 219.804737
3200,  4,  14, 186.580010
3200,  4,  15, 214.070975
3200,  4,  16, 216.316519
3200,  4,  17, 214.508247
3200,  4,  18, 216.676965
3200,  4,  19, 216.457772
3200,  4,  20, 218.304567
3200,  4,  21, 216.806117
3200,  4,  22, 215.820606
3200,  4,  23, 216.596089
3200,  4,  24, 214.753166
3200,  4,  25, 217.706691
3200,  4,  26, 216.449921
3200,  4,  27, 219.186813
3200,  4,  28, 215.218790
3200,  4,  29, 215.217655
3200,  4,  30, 220.046945
3200, 20,   1, 147.211375
3200, 20,   2, 125.297325
3200, 20,   3, 124.227983
3200, 20,   4, 134.250988
3200, 20,   5, 130.194352
3200, 20,   6, 141.936196
3200, 20,   7, 140.442511
3200, 20,   8, 124.381816
3200, 20,   9, 144.077348
3200, 20,  10, 134.135677
3200, 20,  11, 127.699751
3200, 20,  12, 132.657197
3200, 20,  13, 125.428720
3200, 20,  14, 130.772767
3200, 20,  15, 140.517477
3200, 20,  16, 131.598124
3200, 20,  17, 139.089161
3200, 20,  18, 143.642494
3200, 20,  19, 139.091773
3200, 20,  20, 133.250342
3200, 20,  21, 143.082727
3200, 20,  22, 124.798079
3200, 20,  23, 134.335202
3200, 20,  24, 124.814619
3200, 20,  25, 137.349993
3200, 20,  26, 136.797530
3200, 20,  27, 136.156275
3200, 20,  28, 133.090271
3200, 20,  29, 120.773685
3200, 20,  30, 132.885073
